//name, selling price, buying price, reserved quantity, target quantity, foreign merchant price, auto-generated, needed equipment(deprecated), minimum reputation,  desc code for the help screen
sharksfin,10,5,10,64,12,false,,0,agriculture
ceramic,10,5,10,64,12,false,,0,agriculture
//papercurrency,15,12,64,128,0,false,,0,crafting
riceplate,10,5,10,64,12,false,,0,agriculture
compass,0,7*64,0,0,0,false,,0,tools
coal,0,2,0,0, 0,false,,0,crafting
bowlempty,10,5,10,64,12,false,,0,agriculture
paintedbrickwhite,6,5,0,2048,0,false,,0,construction
guan_dao,20*64,15*64,0,0,32*64,false,,0,weapons
shaoxiung_wine,2*64,2*60,2,5,4*64,false,0,64*64,agriculture
huadiao_wine,64,60,2,5,2*64,false,0,32*64,agriculture

gray_tiles,16,14,0,0,36,false,,0,construction
bed_straw,16,0,8,16,0,false,,0,construction
